2022-11-28 11:14:11,826 - doExcel.py:[30] - [INFO] - 工作簿<xlrd.book.Book object at 0x000001EBD39EA7F0>，sheet页面<xlrd.sheet.Sheet object at 0x000001EBD3A1FBB0>打开成功
2022-11-28 11:14:11,833 - doExcel.py:[30] - [INFO] - 工作簿<xlrd.book.Book object at 0x000001EBD3950EE0>，sheet页面<xlrd.sheet.Sheet object at 0x000001EBD3A1FDC0>打开成功
2022-11-28 11:14:11,837 - doExcel.py:[41] - [INFO] - 单元格值(7,3)文件获取成功，值是：2001zha
2022-11-28 11:14:11,837 - doExcel.py:[41] - [INFO] - 单元格值(8,2)文件获取成功，值是：115555211546789
2022-11-28 11:14:11,837 - doExcel.py:[41] - [INFO] - 单元格值(8,3)文件获取成功，值是：2000zhang
2022-11-28 11:14:11,837 - doExcel.py:[41] - [INFO] - 单元格值(9,2)文件获取成功，值是：115555211.0
2022-11-28 11:14:11,838 - doExcel.py:[41] - [INFO] - 单元格值(9,3)文件获取成功，值是：2000zhang
2022-11-28 11:14:11,838 - doExcel.py:[41] - [INFO] - 单元格值(10,2)文件获取成功，值是：15555211512.0
2022-11-28 11:14:11,838 - doExcel.py:[41] - [INFO] - 单元格值(10,3)文件获取成功，值是：200000000002144322523535zhang
2022-11-28 11:14:11,838 - doExcel.py:[41] - [INFO] - 单元格值(11,2)文件获取成功，值是：15555211512.0
2022-11-28 11:14:11,838 - doExcel.py:[41] - [INFO] - 单元格值(11,3)文件获取成功，值是：1zhan
2022-11-28 11:17:02,818 - doExcel.py:[30] - [INFO] - 工作簿<xlrd.book.Book object at 0x000001D999642880>，sheet页面<xlrd.sheet.Sheet object at 0x000001D999676E50>打开成功
2022-11-28 11:17:02,824 - doExcel.py:[30] - [INFO] - 工作簿<xlrd.book.Book object at 0x000001D9995A3F70>，sheet页面<xlrd.sheet.Sheet object at 0x000001D99968BD90>打开成功
2022-11-28 11:17:02,824 - doExcel.py:[41] - [INFO] - 单元格值(1,4)文件获取成功，值是：//span//input[@placeholder='请输入手机号码']
2022-11-28 11:17:02,824 - doExcel.py:[41] - [INFO] - 单元格值(2,4)文件获取成功，值是：//span//input[@type='password']
2022-11-28 11:17:02,824 - doExcel.py:[41] - [INFO] - 单元格值(3,4)文件获取成功，值是：//form/nz-form-item[4]/button
2022-11-28 11:17:02,825 - doExcel.py:[41] - [INFO] - 单元格值(4,4)文件获取成功，值是：//form/nz-form-item[1]/nz-form-control/div/nz-form-explain/div
2022-11-28 11:17:02,825 - doExcel.py:[41] - [INFO] - 单元格值(5,4)文件获取成功，值是：//form/nz-form-item[2]/nz-form-control/div/nz-form-explain/div
2022-11-28 11:17:02,825 - doExcel.py:[41] - [INFO] - 单元格值(6,4)文件获取成功，值是：.ant-modal-confirm-title>span
2022-11-28 11:17:02,825 - doExcel.py:[41] - [INFO] - 单元格值(7,4)文件获取成功，值是：.ant-modal-confirm-btns>button
2022-11-28 11:17:02,825 - doExcel.py:[41] - [INFO] - 单元格值(1,2)文件获取成功，值是：15555211512.0
2022-11-28 11:17:02,825 - doExcel.py:[41] - [INFO] - 单元格值(1,4)文件获取成功，值是：1，2|1，3
2022-11-28 11:17:02,826 - doExcel.py:[41] - [INFO] - 单元格值(2,2)文件获取成功，值是：
2022-11-28 11:17:02,826 - doExcel.py:[41] - [INFO] - 单元格值(2,3)文件获取成功，值是：
2022-11-28 11:17:02,826 - doExcel.py:[41] - [INFO] - 单元格值(3,2)文件获取成功，值是：
2022-11-28 11:17:02,826 - doExcel.py:[41] - [INFO] - 单元格值(3,3)文件获取成功，值是：2000zhang
2022-11-28 11:17:02,826 - doExcel.py:[41] - [INFO] - 单元格值(4,2)文件获取成功，值是：15555211512.0
2022-11-28 11:17:02,826 - doExcel.py:[41] - [INFO] - 单元格值(4,3)文件获取成功，值是：
2022-11-28 11:17:02,826 - doExcel.py:[41] - [INFO] - 单元格值(5,2)文件获取成功，值是：11555521153.0
2022-11-28 11:17:02,826 - doExcel.py:[41] - [INFO] - 单元格值(5,3)文件获取成功，值是：2000zhang
2022-11-28 11:17:02,827 - doExcel.py:[41] - [INFO] - 单元格值(6,2)文件获取成功，值是：15555211512.0
2022-11-28 11:17:02,827 - doExcel.py:[41] - [INFO] - 单元格值(6,3)文件获取成功，值是：2000zha
2022-11-28 11:17:02,827 - doExcel.py:[41] - [INFO] - 单元格值(7,2)文件获取成功，值是：11555521153.0
2022-11-28 11:17:02,827 - doExcel.py:[41] - [INFO] - 单元格值(7,3)文件获取成功，值是：2001zha
2022-11-28 11:17:02,827 - doExcel.py:[41] - [INFO] - 单元格值(8,2)文件获取成功，值是：115555211546789
2022-11-28 11:17:02,827 - doExcel.py:[41] - [INFO] - 单元格值(8,3)文件获取成功，值是：2000zhang
2022-11-28 11:17:02,827 - doExcel.py:[41] - [INFO] - 单元格值(9,2)文件获取成功，值是：115555211.0
2022-11-28 11:17:02,827 - doExcel.py:[41] - [INFO] - 单元格值(9,3)文件获取成功，值是：2000zhang
2022-11-28 11:17:02,827 - doExcel.py:[41] - [INFO] - 单元格值(10,2)文件获取成功，值是：15555211512.0
2022-11-28 11:17:02,827 - doExcel.py:[41] - [INFO] - 单元格值(10,3)文件获取成功，值是：200000000002144322523535zhang
2022-11-28 11:17:02,828 - doExcel.py:[41] - [INFO] - 单元格值(11,2)文件获取成功，值是：15555211512.0
2022-11-28 11:17:02,828 - doExcel.py:[41] - [INFO] - 单元格值(11,3)文件获取成功，值是：1zhan
2022-11-28 11:17:16,030 - doExcel.py:[30] - [INFO] - 工作簿<xlrd.book.Book object at 0x0000018088712880>，sheet页面<xlrd.sheet.Sheet object at 0x0000018088746EB0>打开成功
2022-11-28 11:17:16,037 - doExcel.py:[30] - [INFO] - 工作簿<xlrd.book.Book object at 0x0000018088673F70>，sheet页面<xlrd.sheet.Sheet object at 0x000001808875B4F0>打开成功
2022-11-28 11:17:16,037 - doExcel.py:[41] - [INFO] - 单元格值(1,4)文件获取成功，值是：//span//input[@placeholder='请输入手机号码']
2022-11-28 11:17:16,037 - doExcel.py:[41] - [INFO] - 单元格值(2,4)文件获取成功，值是：//span//input[@type='password']
2022-11-28 11:17:16,038 - doExcel.py:[41] - [INFO] - 单元格值(3,4)文件获取成功，值是：//form/nz-form-item[4]/button
2022-11-28 11:17:16,038 - doExcel.py:[41] - [INFO] - 单元格值(4,4)文件获取成功，值是：//form/nz-form-item[1]/nz-form-control/div/nz-form-explain/div
2022-11-28 11:17:16,038 - doExcel.py:[41] - [INFO] - 单元格值(5,4)文件获取成功，值是：//form/nz-form-item[2]/nz-form-control/div/nz-form-explain/div
2022-11-28 11:17:16,038 - doExcel.py:[41] - [INFO] - 单元格值(6,4)文件获取成功，值是：.ant-modal-confirm-title>span
2022-11-28 11:17:16,038 - doExcel.py:[41] - [INFO] - 单元格值(7,4)文件获取成功，值是：.ant-modal-confirm-btns>button
2022-11-28 11:17:16,038 - doExcel.py:[41] - [INFO] - 单元格值(1,2)文件获取成功，值是：15555211512.0
2022-11-28 11:17:16,038 - doExcel.py:[41] - [INFO] - 单元格值(1,4)文件获取成功，值是：1，2|1，3
2022-11-28 11:17:16,038 - doExcel.py:[41] - [INFO] - 单元格值(2,2)文件获取成功，值是：
2022-11-28 11:17:16,039 - doExcel.py:[41] - [INFO] - 单元格值(2,3)文件获取成功，值是：
2022-11-28 11:17:16,039 - doExcel.py:[41] - [INFO] - 单元格值(3,2)文件获取成功，值是：
2022-11-28 11:17:16,039 - doExcel.py:[41] - [INFO] - 单元格值(3,3)文件获取成功，值是：2000zhang
2022-11-28 11:17:16,039 - doExcel.py:[41] - [INFO] - 单元格值(4,2)文件获取成功，值是：15555211512.0
2022-11-28 11:17:16,039 - doExcel.py:[41] - [INFO] - 单元格值(4,3)文件获取成功，值是：
2022-11-28 11:17:16,039 - doExcel.py:[41] - [INFO] - 单元格值(5,2)文件获取成功，值是：11555521153.0
2022-11-28 11:17:16,039 - doExcel.py:[41] - [INFO] - 单元格值(5,3)文件获取成功，值是：2000zhang
2022-11-28 11:17:16,040 - doExcel.py:[41] - [INFO] - 单元格值(6,2)文件获取成功，值是：15555211512.0
2022-11-28 11:17:16,040 - doExcel.py:[41] - [INFO] - 单元格值(6,3)文件获取成功，值是：2000zha
2022-11-28 11:17:16,040 - doExcel.py:[41] - [INFO] - 单元格值(7,2)文件获取成功，值是：11555521153.0
2022-11-28 11:17:16,040 - doExcel.py:[41] - [INFO] - 单元格值(7,3)文件获取成功，值是：2001zha
2022-11-28 11:17:16,040 - doExcel.py:[41] - [INFO] - 单元格值(8,2)文件获取成功，值是：115555211546789
2022-11-28 11:17:16,040 - doExcel.py:[41] - [INFO] - 单元格值(8,3)文件获取成功，值是：2000zhang
2022-11-28 11:17:16,040 - doExcel.py:[41] - [INFO] - 单元格值(9,2)文件获取成功，值是：115555211.0
2022-11-28 11:17:16,040 - doExcel.py:[41] - [INFO] - 单元格值(9,3)文件获取成功，值是：2000zhang
2022-11-28 11:17:16,040 - doExcel.py:[41] - [INFO] - 单元格值(10,2)文件获取成功，值是：15555211512.0
2022-11-28 11:17:16,040 - doExcel.py:[41] - [INFO] - 单元格值(10,3)文件获取成功，值是：200000000002144322523535zhang
2022-11-28 11:17:16,041 - doExcel.py:[41] - [INFO] - 单元格值(11,2)文件获取成功，值是：15555211512.0
2022-11-28 11:17:16,041 - doExcel.py:[41] - [INFO] - 单元格值(11,3)文件获取成功，值是：1zhan
2022-11-28 11:22:19,113 - doExcel.py:[30] - [INFO] - 工作簿<xlrd.book.Book object at 0x0000020D448028B0>，sheet页面<xlrd.sheet.Sheet object at 0x0000020D44836E80>打开成功
2022-11-28 11:22:19,120 - doExcel.py:[30] - [INFO] - 工作簿<xlrd.book.Book object at 0x0000020D44763FA0>，sheet页面<xlrd.sheet.Sheet object at 0x0000020D4484BDC0>打开成功
2022-11-28 11:22:19,121 - doExcel.py:[41] - [INFO] - 单元格值(1,4)文件获取成功，值是：//span//input[@placeholder='请输入手机号码']
2022-11-28 11:22:19,121 - doExcel.py:[41] - [INFO] - 单元格值(2,4)文件获取成功，值是：//span//input[@type='password']
2022-11-28 11:22:19,121 - doExcel.py:[41] - [INFO] - 单元格值(3,4)文件获取成功，值是：//form/nz-form-item[4]/button
2022-11-28 11:22:19,121 - doExcel.py:[41] - [INFO] - 单元格值(4,4)文件获取成功，值是：//form/nz-form-item[1]/nz-form-control/div/nz-form-explain/div
2022-11-28 11:22:19,121 - doExcel.py:[41] - [INFO] - 单元格值(5,4)文件获取成功，值是：//form/nz-form-item[2]/nz-form-control/div/nz-form-explain/div
2022-11-28 11:22:19,121 - doExcel.py:[41] - [INFO] - 单元格值(6,4)文件获取成功，值是：.ant-modal-confirm-title>span
2022-11-28 11:22:19,121 - doExcel.py:[41] - [INFO] - 单元格值(7,4)文件获取成功，值是：.ant-modal-confirm-btns>button
2022-11-28 11:22:19,122 - doExcel.py:[41] - [INFO] - 单元格值(1,2)文件获取成功，值是：15555211512.0
2022-11-28 11:22:19,122 - doExcel.py:[41] - [INFO] - 单元格值(1,4)文件获取成功，值是：1，2|1，3
2022-11-28 11:22:19,122 - doExcel.py:[41] - [INFO] - 单元格值(2,2)文件获取成功，值是：
2022-11-28 11:22:19,122 - doExcel.py:[41] - [INFO] - 单元格值(2,3)文件获取成功，值是：
2022-11-28 11:22:19,122 - doExcel.py:[41] - [INFO] - 单元格值(3,2)文件获取成功，值是：
2022-11-28 11:22:19,122 - doExcel.py:[41] - [INFO] - 单元格值(3,3)文件获取成功，值是：2000zhang
2022-11-28 11:22:19,122 - doExcel.py:[41] - [INFO] - 单元格值(4,2)文件获取成功，值是：15555211512.0
2022-11-28 11:22:19,122 - doExcel.py:[41] - [INFO] - 单元格值(4,3)文件获取成功，值是：
2022-11-28 11:22:19,122 - doExcel.py:[41] - [INFO] - 单元格值(5,2)文件获取成功，值是：11555521153.0
2022-11-28 11:22:19,123 - doExcel.py:[41] - [INFO] - 单元格值(5,3)文件获取成功，值是：2000zhang
2022-11-28 11:22:19,123 - doExcel.py:[41] - [INFO] - 单元格值(6,2)文件获取成功，值是：15555211512.0
2022-11-28 11:22:19,123 - doExcel.py:[41] - [INFO] - 单元格值(6,3)文件获取成功，值是：2000zha
2022-11-28 11:22:19,123 - doExcel.py:[41] - [INFO] - 单元格值(7,2)文件获取成功，值是：11555521153.0
2022-11-28 11:22:19,123 - doExcel.py:[41] - [INFO] - 单元格值(7,3)文件获取成功，值是：2001zha
2022-11-28 11:22:19,123 - doExcel.py:[41] - [INFO] - 单元格值(8,2)文件获取成功，值是：115555211546789
2022-11-28 11:22:19,123 - doExcel.py:[41] - [INFO] - 单元格值(8,3)文件获取成功，值是：2000zhang
2022-11-28 11:22:19,123 - doExcel.py:[41] - [INFO] - 单元格值(9,2)文件获取成功，值是：115555211.0
2022-11-28 11:22:19,123 - doExcel.py:[41] - [INFO] - 单元格值(9,3)文件获取成功，值是：2000zhang
2022-11-28 11:22:19,123 - doExcel.py:[41] - [INFO] - 单元格值(10,2)文件获取成功，值是：15555211512.0
2022-11-28 11:22:19,124 - doExcel.py:[41] - [INFO] - 单元格值(10,3)文件获取成功，值是：200000000002144322523535zhang
2022-11-28 11:22:19,124 - doExcel.py:[41] - [INFO] - 单元格值(11,2)文件获取成功，值是：15555211512.0
2022-11-28 11:22:19,124 - doExcel.py:[41] - [INFO] - 单元格值(11,3)文件获取成功，值是：1zhan
2022-11-28 11:27:27,153 - doExcel.py:[30] - [INFO] - 工作簿<xlrd.book.Book object at 0x00000270C56D28B0>，sheet页面<xlrd.sheet.Sheet object at 0x00000270C5706EE0>打开成功
2022-11-28 11:27:27,161 - doExcel.py:[30] - [INFO] - 工作簿<xlrd.book.Book object at 0x00000270C5233FA0>，sheet页面<xlrd.sheet.Sheet object at 0x00000270C571BA60>打开成功
2022-11-28 11:27:27,161 - doExcel.py:[41] - [INFO] - 单元格值(1,4)文件获取成功，值是：//span//input[@placeholder='请输入手机号码']
2022-11-28 11:27:27,161 - doExcel.py:[41] - [INFO] - 单元格值(2,4)文件获取成功，值是：//span//input[@type='password']
2022-11-28 11:27:27,161 - doExcel.py:[41] - [INFO] - 单元格值(3,4)文件获取成功，值是：//form/nz-form-item[4]/button
2022-11-28 11:27:27,161 - doExcel.py:[41] - [INFO] - 单元格值(4,4)文件获取成功，值是：//form/nz-form-item[1]/nz-form-control/div/nz-form-explain/div
2022-11-28 11:27:27,161 - doExcel.py:[41] - [INFO] - 单元格值(5,4)文件获取成功，值是：//form/nz-form-item[2]/nz-form-control/div/nz-form-explain/div
2022-11-28 11:27:27,161 - doExcel.py:[41] - [INFO] - 单元格值(6,4)文件获取成功，值是：.ant-modal-confirm-title>span
2022-11-28 11:27:27,162 - doExcel.py:[41] - [INFO] - 单元格值(7,4)文件获取成功，值是：.ant-modal-confirm-btns>button
2022-11-28 11:27:27,162 - doExcel.py:[41] - [INFO] - 单元格值(1,2)文件获取成功，值是：15555211512.0
2022-11-28 11:27:27,162 - doExcel.py:[41] - [INFO] - 单元格值(1,4)文件获取成功，值是：1，2|1，3
2022-11-28 11:27:27,162 - doExcel.py:[41] - [INFO] - 单元格值(2,2)文件获取成功，值是：
2022-11-28 11:27:27,162 - doExcel.py:[41] - [INFO] - 单元格值(2,3)文件获取成功，值是：
2022-11-28 11:27:27,162 - doExcel.py:[41] - [INFO] - 单元格值(3,2)文件获取成功，值是：
2022-11-28 11:27:27,162 - doExcel.py:[41] - [INFO] - 单元格值(3,3)文件获取成功，值是：2000zhang
2022-11-28 11:27:27,162 - doExcel.py:[41] - [INFO] - 单元格值(4,2)文件获取成功，值是：15555211512.0
2022-11-28 11:27:27,162 - doExcel.py:[41] - [INFO] - 单元格值(4,3)文件获取成功，值是：
2022-11-28 11:27:27,162 - doExcel.py:[41] - [INFO] - 单元格值(5,2)文件获取成功，值是：11555521153.0
2022-11-28 11:27:27,163 - doExcel.py:[41] - [INFO] - 单元格值(5,3)文件获取成功，值是：2000zhang
2022-11-28 11:27:27,163 - doExcel.py:[41] - [INFO] - 单元格值(6,2)文件获取成功，值是：15555211512.0
2022-11-28 11:27:27,163 - doExcel.py:[41] - [INFO] - 单元格值(6,3)文件获取成功，值是：2000zha
2022-11-28 11:27:27,163 - doExcel.py:[41] - [INFO] - 单元格值(7,2)文件获取成功，值是：11555521153.0
2022-11-28 11:27:27,163 - doExcel.py:[41] - [INFO] - 单元格值(7,3)文件获取成功，值是：2001zha
2022-11-28 11:27:27,163 - doExcel.py:[41] - [INFO] - 单元格值(8,2)文件获取成功，值是：115555211546789
2022-11-28 11:27:27,163 - doExcel.py:[41] - [INFO] - 单元格值(8,3)文件获取成功，值是：2000zhang
2022-11-28 11:27:27,163 - doExcel.py:[41] - [INFO] - 单元格值(9,2)文件获取成功，值是：115555211.0
2022-11-28 11:27:27,163 - doExcel.py:[41] - [INFO] - 单元格值(9,3)文件获取成功，值是：2000zhang
2022-11-28 11:27:27,163 - doExcel.py:[41] - [INFO] - 单元格值(10,2)文件获取成功，值是：15555211512.0
2022-11-28 11:27:27,163 - doExcel.py:[41] - [INFO] - 单元格值(10,3)文件获取成功，值是：200000000002144322523535zhang
2022-11-28 11:27:27,164 - doExcel.py:[41] - [INFO] - 单元格值(11,2)文件获取成功，值是：15555211512.0
2022-11-28 11:27:27,164 - doExcel.py:[41] - [INFO] - 单元格值(11,3)文件获取成功，值是：1zhan
2022-11-28 11:28:12,037 - doExcel.py:[30] - [INFO] - 工作簿<xlrd.book.Book object at 0x00000224366528B0>，sheet页面<xlrd.sheet.Sheet object at 0x0000022436686EE0>打开成功
2022-11-28 11:28:12,046 - doExcel.py:[30] - [INFO] - 工作簿<xlrd.book.Book object at 0x00000224365B3FA0>，sheet页面<xlrd.sheet.Sheet object at 0x000002243669B550>打开成功
2022-11-28 11:28:12,046 - doExcel.py:[41] - [INFO] - 单元格值(1,4)文件获取成功，值是：//span//input[@placeholder='请输入手机号码']
2022-11-28 11:28:12,046 - doExcel.py:[41] - [INFO] - 单元格值(2,4)文件获取成功，值是：//span//input[@type='password']
2022-11-28 11:28:12,046 - doExcel.py:[41] - [INFO] - 单元格值(3,4)文件获取成功，值是：//form/nz-form-item[4]/button
2022-11-28 11:28:12,047 - doExcel.py:[41] - [INFO] - 单元格值(4,4)文件获取成功，值是：//form/nz-form-item[1]/nz-form-control/div/nz-form-explain/div
2022-11-28 11:28:12,047 - doExcel.py:[41] - [INFO] - 单元格值(5,4)文件获取成功，值是：//form/nz-form-item[2]/nz-form-control/div/nz-form-explain/div
2022-11-28 11:28:12,047 - doExcel.py:[41] - [INFO] - 单元格值(6,4)文件获取成功，值是：.ant-modal-confirm-title>span
2022-11-28 11:28:12,047 - doExcel.py:[41] - [INFO] - 单元格值(7,4)文件获取成功，值是：.ant-modal-confirm-btns>button
2022-11-28 11:28:12,047 - doExcel.py:[41] - [INFO] - 单元格值(1,2)文件获取成功，值是：15555211512.0
2022-11-28 11:28:12,047 - doExcel.py:[41] - [INFO] - 单元格值(1,4)文件获取成功，值是：1，2|1，3
2022-11-28 11:28:12,047 - doExcel.py:[41] - [INFO] - 单元格值(2,2)文件获取成功，值是：
2022-11-28 11:28:12,047 - doExcel.py:[41] - [INFO] - 单元格值(2,3)文件获取成功，值是：
2022-11-28 11:28:12,047 - doExcel.py:[41] - [INFO] - 单元格值(3,2)文件获取成功，值是：
2022-11-28 11:28:12,048 - doExcel.py:[41] - [INFO] - 单元格值(3,3)文件获取成功，值是：2000zhang
2022-11-28 11:28:12,048 - doExcel.py:[41] - [INFO] - 单元格值(4,2)文件获取成功，值是：15555211512.0
2022-11-28 11:28:12,048 - doExcel.py:[41] - [INFO] - 单元格值(4,3)文件获取成功，值是：
2022-11-28 11:28:12,048 - doExcel.py:[41] - [INFO] - 单元格值(5,2)文件获取成功，值是：11555521153.0
2022-11-28 11:28:12,048 - doExcel.py:[41] - [INFO] - 单元格值(5,3)文件获取成功，值是：2000zhang
2022-11-28 11:28:12,048 - doExcel.py:[41] - [INFO] - 单元格值(6,2)文件获取成功，值是：15555211512.0
2022-11-28 11:28:12,048 - doExcel.py:[41] - [INFO] - 单元格值(6,3)文件获取成功，值是：2000zha
2022-11-28 11:28:12,048 - doExcel.py:[41] - [INFO] - 单元格值(7,2)文件获取成功，值是：11555521153.0
2022-11-28 11:28:12,048 - doExcel.py:[41] - [INFO] - 单元格值(7,3)文件获取成功，值是：2001zha
2022-11-28 11:28:12,048 - doExcel.py:[41] - [INFO] - 单元格值(8,2)文件获取成功，值是：115555211546789
2022-11-28 11:28:12,049 - doExcel.py:[41] - [INFO] - 单元格值(8,3)文件获取成功，值是：2000zhang
2022-11-28 11:28:12,049 - doExcel.py:[41] - [INFO] - 单元格值(9,2)文件获取成功，值是：115555211.0
2022-11-28 11:28:12,049 - doExcel.py:[41] - [INFO] - 单元格值(9,3)文件获取成功，值是：2000zhang
2022-11-28 11:28:12,049 - doExcel.py:[41] - [INFO] - 单元格值(10,2)文件获取成功，值是：15555211512.0
2022-11-28 11:28:12,049 - doExcel.py:[41] - [INFO] - 单元格值(10,3)文件获取成功，值是：200000000002144322523535zhang
2022-11-28 11:28:12,049 - doExcel.py:[41] - [INFO] - 单元格值(11,2)文件获取成功，值是：15555211512.0
2022-11-28 11:28:12,049 - doExcel.py:[41] - [INFO] - 单元格值(11,3)文件获取成功，值是：1zhan
2022-11-28 11:28:29,351 - doExcel.py:[30] - [INFO] - 工作簿<xlrd.book.Book object at 0x000001AC3B2A28B0>，sheet页面<xlrd.sheet.Sheet object at 0x000001AC3B2D6EE0>打开成功
2022-11-28 11:28:29,357 - doExcel.py:[30] - [INFO] - 工作簿<xlrd.book.Book object at 0x000001AC3B203FA0>，sheet页面<xlrd.sheet.Sheet object at 0x000001AC3B2EBEE0>打开成功
2022-11-28 11:28:29,358 - doExcel.py:[41] - [INFO] - 单元格值(1,4)文件获取成功，值是：//span//input[@placeholder='请输入手机号码']
2022-11-28 11:28:29,358 - doExcel.py:[41] - [INFO] - 单元格值(2,4)文件获取成功，值是：//span//input[@type='password']
2022-11-28 11:28:29,358 - doExcel.py:[41] - [INFO] - 单元格值(3,4)文件获取成功，值是：//form/nz-form-item[4]/button
2022-11-28 11:28:29,358 - doExcel.py:[41] - [INFO] - 单元格值(4,4)文件获取成功，值是：//form/nz-form-item[1]/nz-form-control/div/nz-form-explain/div
2022-11-28 11:28:29,358 - doExcel.py:[41] - [INFO] - 单元格值(5,4)文件获取成功，值是：//form/nz-form-item[2]/nz-form-control/div/nz-form-explain/div
2022-11-28 11:28:29,358 - doExcel.py:[41] - [INFO] - 单元格值(6,4)文件获取成功，值是：.ant-modal-confirm-title>span
2022-11-28 11:28:29,358 - doExcel.py:[41] - [INFO] - 单元格值(7,4)文件获取成功，值是：.ant-modal-confirm-btns>button
2022-11-28 11:28:29,359 - doExcel.py:[41] - [INFO] - 单元格值(1,2)文件获取成功，值是：15555211512.0
2022-11-28 11:28:29,359 - doExcel.py:[41] - [INFO] - 单元格值(1,4)文件获取成功，值是：1，2|1，3
2022-11-28 11:28:29,359 - doExcel.py:[41] - [INFO] - 单元格值(2,2)文件获取成功，值是：
2022-11-28 11:28:29,359 - doExcel.py:[41] - [INFO] - 单元格值(2,3)文件获取成功，值是：
2022-11-28 11:28:29,359 - doExcel.py:[41] - [INFO] - 单元格值(3,2)文件获取成功，值是：
2022-11-28 11:28:29,359 - doExcel.py:[41] - [INFO] - 单元格值(3,3)文件获取成功，值是：2000zhang
2022-11-28 11:28:29,359 - doExcel.py:[41] - [INFO] - 单元格值(4,2)文件获取成功，值是：15555211512.0
2022-11-28 11:28:29,359 - doExcel.py:[41] - [INFO] - 单元格值(4,3)文件获取成功，值是：
2022-11-28 11:28:29,359 - doExcel.py:[41] - [INFO] - 单元格值(5,2)文件获取成功，值是：11555521153.0
2022-11-28 11:28:29,360 - doExcel.py:[41] - [INFO] - 单元格值(5,3)文件获取成功，值是：2000zhang
2022-11-28 11:28:29,360 - doExcel.py:[41] - [INFO] - 单元格值(6,2)文件获取成功，值是：15555211512.0
2022-11-28 11:28:29,360 - doExcel.py:[41] - [INFO] - 单元格值(6,3)文件获取成功，值是：2000zha
2022-11-28 11:28:29,360 - doExcel.py:[41] - [INFO] - 单元格值(7,2)文件获取成功，值是：11555521153.0
2022-11-28 11:28:29,360 - doExcel.py:[41] - [INFO] - 单元格值(7,3)文件获取成功，值是：2001zha
2022-11-28 11:28:29,360 - doExcel.py:[41] - [INFO] - 单元格值(8,2)文件获取成功，值是：115555211546789
2022-11-28 11:28:29,360 - doExcel.py:[41] - [INFO] - 单元格值(8,3)文件获取成功，值是：2000zhang
2022-11-28 11:28:29,360 - doExcel.py:[41] - [INFO] - 单元格值(9,2)文件获取成功，值是：115555211.0
